M,N,cutoff,factor_ci95_high,factor_ci95_low,factor_probability,lminus_ci95_high,lminus_ci95_low,lminus_probability,mean_lll_runtime_seconds,model,omitted_layers,replicates
8,85,2,0.08334298900290629,0.0027634707504014047,0.015625,0.08334298900290629,0.0027634707504014047,0.015625,0.0015375898265119758,B_exact_finite_discrete_gaussian,0,64
16,85,0,0.08334298900290629,0.0027634707504014047,0.015625,0.08334298900290629,0.0027634707504014047,0.015625,0.0014967720162530895,A_uniform_hard_box,3,64
16,85,1,0.08334298900290629,0.0027634707504014047,0.015625,0.08334298900290629,0.0027634707504014047,0.015625,0.0015129069552131114,A_uniform_hard_box,2,64
16,85,2,0.08334298900290629,0.0027634707504014047,0.015625,0.08334298900290629,0.0027634707504014047,0.015625,0.0015108469970073202,A_uniform_hard_box,1,64
16,85,3,0.08334298900290629,0.0027634707504014047,0.015625,0.08334298900290629,0.0027634707504014047,0.015625,0.0014956998411435052,A_uniform_hard_box,0,64
16,85,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.001617210246877221,B_exact_finite_discrete_gaussian,3,64
16,85,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016353040482499637,B_exact_finite_discrete_gaussian,2,64
16,85,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016525911705684848,B_exact_finite_discrete_gaussian,1,64
16,85,3,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016365944529752596,B_exact_finite_discrete_gaussian,0,64
32,85,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.001496305952059629,A_uniform_hard_box,4,64
32,85,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015033084846436395,A_uniform_hard_box,3,64
32,85,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015060630366861005,A_uniform_hard_box,2,64
32,85,3,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015036365948617458,A_uniform_hard_box,1,64
32,85,4,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015153918875512318,A_uniform_hard_box,0,64
32,85,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016907409217310487,B_exact_finite_discrete_gaussian,4,64
32,85,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016817036776046734,B_exact_finite_discrete_gaussian,3,64
32,85,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.001741768859574222,B_exact_finite_discrete_gaussian,2,64
32,85,3,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0017096764076995896,B_exact_finite_discrete_gaussian,1,64
32,85,4,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.001707987693407631,B_exact_finite_discrete_gaussian,0,64
8,95,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015473274825126282,A_uniform_hard_box,2,64
8,95,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015484837012991193,A_uniform_hard_box,1,64
8,95,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015246881730490713,A_uniform_hard_box,0,64
8,95,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015769758092574193,B_exact_finite_discrete_gaussian,2,64
8,95,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016186998745979508,B_exact_finite_discrete_gaussian,1,64
8,95,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015453984888154082,B_exact_finite_discrete_gaussian,0,64
16,95,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016330059042957146,A_uniform_hard_box,3,64
16,95,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016916939384827856,A_uniform_hard_box,2,64
16,95,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.001602986964826414,A_uniform_hard_box,1,64
16,95,3,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016007968897611136,A_uniform_hard_box,0,64
16,95,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016426366992163821,B_exact_finite_discrete_gaussian,3,64
16,95,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.001667119086960156,B_exact_finite_discrete_gaussian,2,64
16,95,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.001670556527642475,B_exact_finite_discrete_gaussian,1,64
16,95,3,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0017044330152202747,B_exact_finite_discrete_gaussian,0,64
32,95,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0017008014974635444,A_uniform_hard_box,4,64
32,95,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016746347964726738,A_uniform_hard_box,3,64
32,95,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016651803634886164,A_uniform_hard_box,2,64
32,95,3,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016514682010893011,A_uniform_hard_box,1,64
32,95,4,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016681555616742116,A_uniform_hard_box,0,64
32,95,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0017087285486923065,B_exact_finite_discrete_gaussian,4,64
32,95,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0017203152001457056,B_exact_finite_discrete_gaussian,3,64
32,95,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0017323958072665846,B_exact_finite_discrete_gaussian,2,64
32,95,3,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0017328378144156886,B_exact_finite_discrete_gaussian,1,64
32,95,4,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0017334726699118619,B_exact_finite_discrete_gaussian,0,64
8,115,0,0.08334298900290629,0.0027634707504014047,0.015625,0.08334298900290629,0.0027634707504014047,0.015625,0.0016009597247830243,A_uniform_hard_box,2,64
8,115,1,0.1898309858327767,0.04367765783128784,0.09375,0.1898309858327767,0.04367765783128784,0.09375,0.0015611588269166532,A_uniform_hard_box,1,64
8,115,2,0.22774786330215924,0.064721653926208,0.125,0.22774786330215924,0.064721653926208,0.125,0.0015646126284991624,A_uniform_hard_box,0,64
8,115,0,0.08334298900290629,0.0027634707504014047,0.015625,0.08334298900290629,0.0027634707504014047,0.015625,0.001713833346911997,B_exact_finite_discrete_gaussian,2,64
8,115,1,0.1898309858327767,0.04367765783128784,0.09375,0.1898309858327767,0.04367765783128784,0.09375,0.0018588722805361613,B_exact_finite_discrete_gaussian,1,64
8,115,2,0.1701975287864777,0.03383067809543547,0.078125,0.1701975287864777,0.03383067809543547,0.078125,0.0015764817499075434,B_exact_finite_discrete_gaussian,0,64
16,115,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016531732198927784,A_uniform_hard_box,3,64
16,115,1,0.20898863291938535,0.054000447526830544,0.109375,0.20898863291938535,0.054000447526830544,0.109375,0.0016343066681656637,A_uniform_hard_box,2,64
16,115,2,0.38483106257235195,0.17296238569537764,0.265625,0.38483106257235195,0.17296238569537764,0.265625,0.0016534511851205025,A_uniform_hard_box,1,64
16,115,3,0.40134162399503504,0.18593226105484584,0.28125,0.40134162399503504,0.18593226105484584,0.28125,0.0016792500127849053,A_uniform_hard_box,0,64
16,115,0,0.10697493882294247,0.00861195771251659,0.03125,0.10697493882294247,0.00861195771251659,0.03125,0.0016271172089545871,B_exact_finite_discrete_gaussian,3,64
16,115,1,0.12899860788542522,0.016068725432185196,0.046875,0.12899860788542522,0.016068725432185196,0.046875,0.0016288560627799598,B_exact_finite_discrete_gaussian,2,64
16,115,2,0.24616508394637426,0.07578487006414436,0.140625,0.24616508394637426,0.07578487006414436,0.140625,0.0016422292501374613,B_exact_finite_discrete_gaussian,1,64
16,115,3,0.26428290202305327,0.08714748876961673,0.15625,0.26428290202305327,0.08714748876961673,0.15625,0.0016373718572140206,B_exact_finite_discrete_gaussian,0,64
32,115,0,0.14997696642496888,0.024570803674792932,0.0625,0.14997696642496888,0.024570803674792932,0.0625,0.0016917825296332012,A_uniform_hard_box,4,64
32,115,1,0.1898309858327767,0.04367765783128784,0.09375,0.1898309858327767,0.04367765783128784,0.09375,0.0016872330425030668,A_uniform_hard_box,3,64
32,115,2,0.38483106257235195,0.17296238569537764,0.265625,0.38483106257235195,0.17296238569537764,0.265625,0.001671607392381702,A_uniform_hard_box,2,64
