N,base,compiled_cx,controlled_phase,cphase_gain,cphase_sigma,cutoff,cx_depolarizing_probability,depolarizing_mixing,distribution_certified,distribution_m_shot_bound,distribution_tv,exact_factor_acceptance_mass,exact_order_acceptance_mass,hellinger_affinity,hellinger_certified,hellinger_product_bound,instance_id,known_factors_used,known_order_used_by_decoder,loss_budget,noise_axis,noise_setting,noisy_factor_acceptance_mass,noisy_order_acceptance_mass,phase_modulus,phase_qubits,rz_bias,rz_sigma,shots,stochastic_setting,worst_case_certified,worst_case_m_shot_bound
35,11,150,66,0.0,0.0,11,0.0,1.0,True,0.0,0.0,0.0,0.6666491685818337,1.0,True,0.0,35:11,False,False,0.05,baseline,baseline,0.0,0.6666491685818337,4096,12,0.0,0.0,2,False,True,0.0
35,11,150,66,0.0,0.0,11,0.0,1.0,True,0.0,0.0,0.0,0.6666491685818337,1.0,True,0.0,35:11,False,False,0.05,baseline,baseline,0.0,0.6666491685818337,4096,12,0.0,0.0,8,False,True,0.0
35,11,150,66,0.0,0.0,11,0.0,1.0,True,0.0,0.0,0.0,0.6666491685818337,1.0,True,0.0,35:11,False,False,0.05,baseline,baseline,0.0,0.6666491685818337,4096,12,0.0,0.0,16,False,True,0.0
35,11,150,66,0.02,0.0,11,0.0,1.0,True,0.010765800434371413,0.010765800434371413,0.0,0.6666491685818337,0.9991861067856656,True,0.04033762519663936,35:11,False,False,0.05,controlled_phase,cphase_gain_0p02,0.0,0.6666385372919118,4096,12,0.0,0.0,1,False,True,0.0
35,11,150,66,0.02,0.0,11,0.0,1.0,True,0.021531600868742826,0.010765800434371413,0.0,0.6666491685818337,0.9991861067856656,False,0.05702280666958238,35:11,False,False,0.05,controlled_phase,cphase_gain_0p02,0.0,0.6666385372919118,4096,12,0.0,0.0,2,False,True,0.0
35,11,150,66,0.02,0.0,11,0.0,1.0,False,0.0861264034749713,0.010765800434371413,0.0,0.6666491685818337,0.9991861067856656,False,0.11376775418137146,35:11,False,False,0.05,controlled_phase,cphase_gain_0p02,0.0,0.6666385372919118,4096,12,0.0,0.0,8,False,True,0.0
35,11,150,66,0.02,0.0,11,0.0,1.0,False,0.1722528069499426,0.010765800434371413,0.0,0.6666491685818337,0.9991861067856656,False,0.1603704458320575,35:11,False,False,0.05,controlled_phase,cphase_gain_0p02,0.0,0.6666385372919118,4096,12,0.0,0.0,16,False,True,0.0
35,11,150,66,0.05,0.0,11,0.0,1.0,True,0.028917173796296117,0.028917173796296117,0.0,0.6666491685818337,0.9947466609187541,False,0.10236738050272334,35:11,False,False,0.05,controlled_phase,cphase_gain_0p05,0.0,0.6665909288588406,4096,12,0.0,0.0,1,False,True,0.0
35,11,150,66,0.05,0.0,11,0.0,1.0,False,0.05783434759259223,0.028917173796296117,0.0,0.6666491685818337,0.9947466609187541,False,0.14438957736604877,35:11,False,False,0.05,controlled_phase,cphase_gain_0p05,0.0,0.6665909288588406,4096,12,0.0,0.0,2,False,True,0.0
35,11,150,66,0.05,0.0,11,0.0,1.0,False,0.23133739037036893,0.028917173796296117,0.0,0.6666491685818337,0.9947466609187541,False,0.28429128782739976,35:11,False,False,0.05,controlled_phase,cphase_gain_0p05,0.0,0.6665909288588406,4096,12,0.0,0.0,8,False,True,0.0
35,11,150,66,0.05,0.0,11,0.0,1.0,False,0.46267478074073787,0.028917173796296117,0.0,0.6666491685818337,0.9947466609187541,False,0.3938412775898993,35:11,False,False,0.05,controlled_phase,cphase_gain_0p05,0.0,0.6665909288588406,4096,12,0.0,0.0,16,False,True,0.0
35,11,150,66,0.1,0.0,11,0.0,1.0,False,0.06379142810034594,0.06379142810034594,0.0,0.6666491685818337,0.9797430891793295,False,0.2002585309177724,35:11,False,False,0.05,controlled_phase,cphase_gain_0p10,0.0,0.6664391715795572,4096,12,0.0,0.0,1,False,True,0.0
35,11,150,66,0.1,0.0,11,0.0,1.0,False,0.12758285620069187,0.06379142810034594,0.0,0.6666491685818337,0.9797430891793295,False,0.28035454226089385,35:11,False,False,0.05,controlled_phase,cphase_gain_0p10,0.0,0.6664391715795572,4096,12,0.0,0.0,2,False,True,0.0
35,11,150,66,0.1,0.0,11,0.0,1.0,False,0.5103314248027675,0.06379142810034594,0.0,0.6666491685818337,0.9797430891793295,False,0.5284243180262514,35:11,False,False,0.05,controlled_phase,cphase_gain_0p10,0.0,0.6664391715795572,4096,12,0.0,0.0,8,False,True,0.0
35,11,150,66,0.1,0.0,11,0.0,1.0,False,1.0,0.06379142810034594,0.0,0.6666491685818337,0.9797430891793295,False,0.6931766476191211,35:11,False,False,0.05,controlled_phase,cphase_gain_0p10,0.0,0.6664391715795572,4096,12,0.0,0.0,16,False,True,0.0
35,11,150,66,0.0,0.02,11,0.0,1.0,True,0.002802409157851956,0.002802409157851956,0.0,0.6666491685818337,0.9992599220910363,True,0.03846567434240622,35:11,False,False,0.05,controlled_phase,cphase_sigma_0p02,0.0,0.6666367466900017,4096,12,0.0,0.0,1,True,True,0.0
35,11,150,66,0.0,0.02,11,0.0,1.0,True,0.005604818315703912,0.002802409157851956,0.0,0.6666491685818337,0.9992599220910363,False,0.05437855243655076,35:11,False,False,0.05,controlled_phase,cphase_sigma_0p02,0.0,0.6666367466900017,4096,12,0.0,0.0,2,True,True,0.0
