algorithm,algorithm_is_shor,controlled_phase_saving,decoder_boundary_proxy,instance_id,measured_tv,noninferior,omitted_layers,register_bits,shots,split,task_difference,worst_case_certified
Regev,0.0,6.0,0.5797872190227275,65:A_uniform_hard_box:M16,0.1241355375129504,False,2.0,4.0,7.0,heldout,-0.1875,False
Regev,0.0,2.0,0.2002499218994064,65:A_uniform_hard_box:M16,4.381532029557045e-17,True,1.0,4.0,7.0,heldout,0.0,False
Regev,0.0,12.0,0.528189781936306,65:B_exact_finite_discrete_gaussian:M16,0.3208233895067516,False,3.0,4.0,7.0,heldout,-0.265625,False
Regev,0.0,6.0,0.5136833712042834,65:B_exact_finite_discrete_gaussian:M16,0.080169893002558,False,2.0,4.0,7.0,heldout,-0.125,False
Regev,0.0,2.0,0.2186046511627907,65:B_exact_finite_discrete_gaussian:M16,4.6620693416876684e-17,True,1.0,4.0,7.0,heldout,0.0,False
Regev,0.0,20.0,0.5329476269467586,65:A_uniform_hard_box:M32,0.5604639132149054,False,4.0,5.0,7.0,heldout,-0.578125,False
Regev,0.0,12.0,0.5480004255873918,65:A_uniform_hard_box:M32,0.2668790230754594,False,3.0,5.0,7.0,heldout,-0.328125,False
Regev,0.0,6.0,0.6034700002090817,65:A_uniform_hard_box:M32,0.0417118207077098,True,2.0,5.0,7.0,heldout,-0.046875,False
Regev,0.0,2.0,0.639505856749664,65:A_uniform_hard_box:M32,1.3233195734953934e-17,True,1.0,5.0,7.0,heldout,0.0,False
Regev,0.0,20.0,0.4761798402198698,65:B_exact_finite_discrete_gaussian:M32,0.3246937832110579,False,4.0,5.0,7.0,heldout,-0.21875,False
Regev,0.0,12.0,0.5067173665164074,65:B_exact_finite_discrete_gaussian:M32,0.2107605743126331,False,3.0,5.0,7.0,heldout,-0.203125,False
Regev,0.0,6.0,0.54988248839391,65:B_exact_finite_discrete_gaussian:M32,0.0269392352069389,True,2.0,5.0,7.0,heldout,-0.0625,False
Regev,0.0,2.0,0.2967032967032967,65:B_exact_finite_discrete_gaussian:M32,8.559776151773058e-17,True,1.0,5.0,7.0,heldout,0.0,False
Regev,0.0,6.0,0.0,85:A_uniform_hard_box:M8,0.0,True,2.0,3.0,7.0,heldout,0.0,False
Regev,0.0,2.0,0.0,85:A_uniform_hard_box:M8,0.0,True,1.0,3.0,7.0,heldout,0.0,False
Regev,0.0,6.0,1.0,85:B_exact_finite_discrete_gaussian:M8,0.0282048410291927,True,2.0,3.0,7.0,heldout,0.0,False
Regev,0.0,2.0,0.0,85:B_exact_finite_discrete_gaussian:M8,0.0,True,1.0,3.0,7.0,heldout,0.0,False
Regev,0.0,12.0,0.9999999999999998,85:A_uniform_hard_box:M16,4.1297882679821904e-34,True,3.0,4.0,7.0,heldout,0.0,False
Regev,0.0,6.0,1.0,85:A_uniform_hard_box:M16,3.3891958414493998e-34,True,2.0,4.0,7.0,heldout,0.0,False
Regev,0.0,2.0,1.0,85:A_uniform_hard_box:M16,1.5563913242878803e-34,True,1.0,4.0,7.0,heldout,0.0,False
Regev,0.0,12.0,0.5906516334478281,85:B_exact_finite_discrete_gaussian:M16,0.1822801213593045,True,3.0,4.0,7.0,heldout,0.0,False
Regev,0.0,6.0,0.4999999999999995,85:B_exact_finite_discrete_gaussian:M16,0.0139062295327144,True,2.0,4.0,7.0,heldout,0.0,False
Regev,0.0,2.0,0.5789473684210527,85:B_exact_finite_discrete_gaussian:M16,3.2959746043559335e-17,True,1.0,4.0,7.0,heldout,0.0,False
Regev,0.0,20.0,1.07997019345028e-17,85:A_uniform_hard_box:M32,3.05311331771918e-16,True,4.0,5.0,7.0,heldout,0.0,False
Regev,0.0,12.0,1.0138599315952639e-17,85:A_uniform_hard_box:M32,3.05311331771918e-16,True,3.0,5.0,7.0,heldout,0.0,False
Regev,0.0,6.0,0.9999999999999998,85:A_uniform_hard_box:M32,3.872994677349595e-33,True,2.0,5.0,7.0,heldout,0.0,False
Regev,0.0,2.0,0.9999999999999998,85:A_uniform_hard_box:M32,1.891007700355564e-33,True,1.0,5.0,7.0,heldout,0.0,False
Regev,0.0,20.0,0.4915867908627714,85:B_exact_finite_discrete_gaussian:M32,0.2692104553298701,True,4.0,5.0,7.0,heldout,0.0,False
Regev,0.0,12.0,0.5515023179648033,85:B_exact_finite_discrete_gaussian:M32,0.0871648924715762,True,3.0,5.0,7.0,heldout,0.0,False
Regev,0.0,6.0,0.7555113664797335,85:B_exact_finite_discrete_gaussian:M32,0.0062011052355232,True,2.0,5.0,7.0,heldout,0.0,False
Regev,0.0,2.0,0.5088757396449705,85:B_exact_finite_discrete_gaussian:M32,7.32920668600201e-17,True,1.0,5.0,7.0,heldout,0.0,False
Regev,0.0,6.0,0.4803757954806605,95:A_uniform_hard_box:M8,0.2623552769683682,True,2.0,3.0,7.0,heldout,0.0,False
Regev,0.0,2.0,0.5000000000000003,95:A_uniform_hard_box:M8,0.0801832497444577,True,1.0,3.0,7.0,heldout,0.0,False
Regev,0.0,6.0,0.5860203690880649,95:B_exact_finite_discrete_gaussian:M8,0.0797893137211828,True,2.0,3.0,7.0,heldout,0.0,False
Regev,0.0,2.0,0.5411424071643534,95:B_exact_finite_discrete_gaussian:M8,0.0300319956134718,True,1.0,3.0,7.0,heldout,0.0,False
Regev,0.0,12.0,0.5292796613775574,95:A_uniform_hard_box:M16,0.5629997531179902,True,3.0,4.0,7.0,heldout,0.0,False
Regev,0.0,6.0,0.5270123968928202,95:A_uniform_hard_box:M16,0.2462645858210476,True,2.0,4.0,7.0,heldout,0.0,False
Regev,0.0,2.0,0.578443915110416,95:A_uniform_hard_box:M16,0.0348952723966003,True,1.0,4.0,7.0,heldout,0.0,False
Regev,0.0,12.0,0.5180053381645187,95:B_exact_finite_discrete_gaussian:M16,0.1453027360187533,True,3.0,4.0,7.0,heldout,0.0,False
Regev,0.0,6.0,0.5215562748074006,95:B_exact_finite_discrete_gaussian:M16,0.0559896476357775,True,2.0,4.0,7.0,heldout,0.0,False
Regev,0.0,2.0,0.5318849729667028,95:B_exact_finite_discrete_gaussian:M16,0.0084931923008239,True,1.0,4.0,7.0,heldout,0.0,False
